title,url,price_gbp,rating_out_of_5,availability,category
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,51.77,3.0,In stock,General
Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,53.74,1.0,In stock,General
Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,50.1,1.0,In stock,General
Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,47.82,4.0,In stock,General
Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,54.23,5.0,In stock,General
The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,22.65,1.0,In stock,General
The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,4.0,In stock,General
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,3.0,In stock,General
The Boys in the Boat,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,,In stock,General
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,52.15,1.0,In stock,General
